From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station
13-09-2021 00:00,14-09-2021 00:00,35.23,0.65,8.89,24.77,51.81,35.27,Delhi,Delhi,"DTU, Delhi - CPCB"
14-09-2021 00:00,15-09-2021 00:00,33.55,0.48,7.69,22.61,67.3,34.25,Delhi,Delhi,"DTU, Delhi - CPCB"
15-09-2021 00:00,16-09-2021 00:00,26.56,0.89,3.59,40.22,79.59,35.11,Delhi,Delhi,"DTU, Delhi - CPCB"
16-09-2021 00:00,17-09-2021 00:00,22.11,1.22,3.85,39.2,75.33,41.28,Delhi,Delhi,"DTU, Delhi - CPCB"
17-09-2021 00:00,18-09-2021 00:00,10.26,0.35,3.76,26.73,44.07,23.99,Delhi,Delhi,"DTU, Delhi - CPCB"
18-09-2021 00:00,19-09-2021 00:00,12.81,0.46,3.25,26.44,68.97,,Delhi,Delhi,"DTU, Delhi - CPCB"
19-09-2021 00:00,20-09-2021 00:00,13.78,0.66,2.7,34.06,80.86,,Delhi,Delhi,"DTU, Delhi - CPCB"
20-09-2021 00:00,21-09-2021 00:00,10.96,0.78,2.69,39.9,79.01,,Delhi,Delhi,"DTU, Delhi - CPCB"
21-09-2021 00:00,22-09-2021 00:00,11.53,0.57,4.97,38.84,57.42,35.33,Delhi,Delhi,"DTU, Delhi - CPCB"
22-09-2021 00:00,23-09-2021 00:00,9.36,0.54,,43.39,57.48,39.2,Delhi,Delhi,"DTU, Delhi - CPCB"
23-09-2021 00:00,24-09-2021 00:00,10.3,0.34,8.31,32.63,68.68,33.85,Delhi,Delhi,"DTU, Delhi - CPCB"
24-09-2021 00:00,25-09-2021 00:00,11.16,0.41,8.13,28.98,45.57,31.2,Delhi,Delhi,"DTU, Delhi - CPCB"
25-09-2021 00:00,26-09-2021 00:00,11.41,0.36,8.12,25.04,52.34,29.94,Delhi,Delhi,"DTU, Delhi - CPCB"
26-09-2021 00:00,27-09-2021 00:00,13.06,0.53,8.19,28.45,60.03,39.82,Delhi,Delhi,"DTU, Delhi - CPCB"
27-09-2021 00:00,28-09-2021 00:00,12.82,0.7,8.25,32.18,110.73,57.51,Delhi,Delhi,"DTU, Delhi - CPCB"
28-09-2021 00:00,29-09-2021 00:00,12.13,0.57,8.2,32.47,99.35,48.43,Delhi,Delhi,"DTU, Delhi - CPCB"
29-09-2021 00:00,30-09-2021 00:00,12.02,0.72,8.09,29.83,95.02,44.98,Delhi,Delhi,"DTU, Delhi - CPCB"
30-09-2021 00:00,01-10-2021 00:00,12.77,0.88,7.29,32.85,80.39,34.88,Delhi,Delhi,"DTU, Delhi - CPCB"
01-10-2021 00:00,02-10-2021 00:00,14.74,1.24,9.12,38.56,137.83,56.87,Delhi,Delhi,"DTU, Delhi - CPCB"
02-10-2021 00:00,03-10-2021 00:00,14.66,0.74,8.2,28.64,107.55,66.65,Delhi,Delhi,"DTU, Delhi - CPCB"
03-10-2021 00:00,04-10-2021 00:00,14.95,0.64,8.64,23.52,106.1,46.59,Delhi,Delhi,"DTU, Delhi - CPCB"
04-10-2021 00:00,05-10-2021 00:00,15.15,0.61,8.79,20.43,105.88,37.73,Delhi,Delhi,"DTU, Delhi - CPCB"
05-10-2021 00:00,06-10-2021 00:00,22.7,0.79,9.17,33.02,96.77,41.88,Delhi,Delhi,"DTU, Delhi - CPCB"
06-10-2021 00:00,07-10-2021 00:00,20.95,0.69,9.52,28.48,92.96,45.09,Delhi,Delhi,"DTU, Delhi - CPCB"
07-10-2021 00:00,08-10-2021 00:00,33.12,0.87,9.55,44.95,117.52,64.65,Delhi,Delhi,"DTU, Delhi - CPCB"
08-10-2021 00:00,09-10-2021 00:00,38.89,1.13,7.71,40.87,179.04,68.31,Delhi,Delhi,"DTU, Delhi - CPCB"
09-10-2021 00:00,10-10-2021 00:00,37.67,1.22,7.74,52.39,214.39,79.29,Delhi,Delhi,"DTU, Delhi - CPCB"
10-10-2021 00:00,11-10-2021 00:00,37.77,1.39,7.74,44.57,186.18,77.59,Delhi,Delhi,"DTU, Delhi - CPCB"
11-10-2021 00:00,12-10-2021 00:00,36.23,1.78,8.22,46.88,207.03,79.17,Delhi,Delhi,"DTU, Delhi - CPCB"
12-10-2021 00:00,13-10-2021 00:00,38.5,1.48,7.93,44.2,199.22,79.44,Delhi,Delhi,"DTU, Delhi - CPCB"
13-10-2021 00:00,14-10-2021 00:00,57.19,0.96,7.78,31.41,181.8,75.56,Delhi,Delhi,"DTU, Delhi - CPCB"
14-10-2021 00:00,15-10-2021 00:00,61.36,0.99,7.8,42.55,182.05,76.6,Delhi,Delhi,"DTU, Delhi - CPCB"
15-10-2021 00:00,16-10-2021 00:00,55.28,1.37,8,49.88,194.26,99.7,Delhi,Delhi,"DTU, Delhi - CPCB"
16-10-2021 00:00,17-10-2021 00:00,50.33,1.85,8.14,50.86,248.36,145.48,Delhi,Delhi,"DTU, Delhi - CPCB"
17-10-2021 00:00,18-10-2021 00:00,34.06,1.9,8.07,48.41,260.6,224,Delhi,Delhi,"DTU, Delhi - CPCB"
18-10-2021 00:00,19-10-2021 00:00,27.19,0.51,7.84,24.42,22.37,27.65,Delhi,Delhi,"DTU, Delhi - CPCB"
19-10-2021 00:00,20-10-2021 00:00,35.42,0.81,7.93,27.97,81.37,48.43,Delhi,Delhi,"DTU, Delhi - CPCB"
20-10-2021 00:00,21-10-2021 00:00,37.59,1.63,6.9,54.74,183.52,116.65,Delhi,Delhi,"DTU, Delhi - CPCB"
21-10-2021 00:00,22-10-2021 00:00,35.41,1.39,5.82,58.77,208.51,82.51,Delhi,Delhi,"DTU, Delhi - CPCB"
22-10-2021 00:00,23-10-2021 00:00,29.88,0.93,5.88,46.57,160.18,77.12,Delhi,Delhi,"DTU, Delhi - CPCB"
23-10-2021 00:00,24-10-2021 00:00,26.86,2.39,5.31,73.91,150.32,155.65,Delhi,Delhi,"DTU, Delhi - CPCB"
24-10-2021 00:00,25-10-2021 00:00,38.79,1.33,4.99,54.14,114.8,,Delhi,Delhi,"DTU, Delhi - CPCB"
25-10-2021 00:00,26-10-2021 00:00,42.25,0.92,4.71,36.95,67.29,,Delhi,Delhi,"DTU, Delhi - CPCB"
26-10-2021 00:00,27-10-2021 00:00,39.95,1.25,4.75,44.68,127.72,63.12,Delhi,Delhi,"DTU, Delhi - CPCB"
27-10-2021 00:00,28-10-2021 00:00,45.57,1.6,4.99,55.06,193.14,94.53,Delhi,Delhi,"DTU, Delhi - CPCB"
28-10-2021 00:00,29-10-2021 00:00,42.99,2.07,5.41,62.98,216.63,166.48,Delhi,Delhi,"DTU, Delhi - CPCB"
29-10-2021 00:00,30-10-2021 00:00,31.06,1.88,5.71,67.24,230.99,164.44,Delhi,Delhi,"DTU, Delhi - CPCB"
30-10-2021 00:00,31-10-2021 00:00,42.39,1.42,5.51,63.88,198.8,122.44,Delhi,Delhi,"DTU, Delhi - CPCB"
31-10-2021 00:00,01-11-2021 00:00,40.01,1.64,5.8,56.07,245.63,142.65,Delhi,Delhi,"DTU, Delhi - CPCB"
01-11-2021 00:00,02-11-2021 00:00,28.41,4.7,7.55,97.32,255.77,151.11,Delhi,Delhi,"DTU, Delhi - CPCB"
02-11-2021 00:00,03-11-2021 00:00,34.32,2.58,6.4,76.1,237.8,137.05,Delhi,Delhi,"DTU, Delhi - CPCB"
